country,lat_long,lat,lon,population_str,population,median_age_str,median_age_total,median_age_male,median_age_female,male_minus_female,age_dist_str,age_0-14_perc,age_15-24_perc,age_25-54_perc,age_55-64_perc,age_65+_perc,0-14_male,0-14_female,15-24_male,15-24_female,25-54_male,25-54_female,55-64_male,55-64_female,65+_male,65+_female,migration_str,migration,birth_rate,death_rate,pop_growth,map_ref,life_exp_total,life_exp_male,life_exp_female
Australia,"27 00 S, 133 00 E",-27.0,133.0,"23,232,413 (July 2017 est.)",23232413,"total: 38.7 years
male: 37.9 years
female: 39.5 years (2017 est.)",38.7,37.9,39.5,-1.6000000000000014,"0-14 years: 17.8% (male 2,122,139/female 2,012,670)
15-24 years: 12.79% (male 1,524,368/female 1,446,663)
25-54 years: 41.45% (male 4,903,130/female 4,725,976)
55-64 years: 11.83% (male 1,363,331/female 1,384,036)
65 years and over: 16.14% (male 1,736,951/female 2,013,149) (2017 est.)",17.8,12.79,41.45,11.83,16.14,2122139,2012670,1524368,1446663,4903130,4725976,1363331,1384036,1736951,2013149,"5.5 migrant(s)/1,000 population (2017 est.)",5.5,12.1,7.3,4.8,Oceania,82.3,79.8,84.9
Austria,"47 20 N, 13 20 E",47.33333333333334,13.333333333333336,"8,754,413 (July 2017 est.)",8754413,"total: 44 years
male: 42.8 years
female: 45.1 years (2017 est.)",44.0,42.8,45.1,-2.3000000000000043,"0-14 years: 14.01% (male 628,205/female 598,519)
15-24 years: 11.07% (male 494,016/female 475,500)
25-54 years: 42.42% (male 1,856,532/female 1,856,937)
55-64 years: 13.23% (male 574,570/female 584,022)
65 years and over: 19.26% (male 731,126/female 954,986) (2017 est.)",14.01,11.07,42.42,13.23,19.26,628205,598519,494016,475500,1856532,1856937,574570,584022,731126,954986,"4.8 migrant(s)/1,000 population (2017 est.)",4.8,9.5,9.6,-0.09999999999999963,Europe,81.6,78.9,84.4
Azerbaijan,"40 30 N, 47 30 E",40.5,47.5,"9,961,396 (July 2017 est.)",9961396,"total: 31.3 years
male: 29.8 years
female: 33 years (2017 est.)",31.3,29.8,33.0,-3.2,"0-14 years: 22.95% (male 1,220,356/female 1,065,514)
15-24 years: 14.84% (male 775,422/female 703,027)
25-54 years: 45.39% (male 2,219,613/female 2,302,356)
55-64 years: 10.17% (male 467,830/female 545,505)
65 years and over: 6.64% (male 253,679/female 408,094) (2017 est.)",22.95,14.84,45.39,10.17,6.64,1220356,1065514,775422,703027,2219613,2302356,467830,545505,253679,408094,"0 migrant(s)/1,000 population (2017 est.)",0.0,15.8,7.1,8.700000000000001,Asia,72.8,69.7,76.1
"Bahamas, The","24 15 N, 76 00 W",24.25,-76.0,"329,988
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",329988,"total: 32 years
male: 30.9 years
female: 33.2 years (2017 est.)",32.0,30.9,33.2,-2.3000000000000043,"0-14 years: 22.55% (male 37,760/female 36,667)
15-24 years: 16.4% (male 27,415/female 26,703)
25-54 years: 44.14% (male 73,016/female 72,626)
55-64 years: 9.16% (male 13,647/female 16,567)
65 years and over: 7.75% (male 9,843/female 15,744) (2017 est.)",22.55,16.4,44.14,9.16,7.75,37760,36667,27415,26703,73016,72626,13647,16567,9843,15744,"0 migrant(s)/1,000 population (2017 est.)",0.0,15.3,7.2,8.100000000000001,Central America and the Caribbean,72.6,70.2,75.1
Bahrain,"26 00 N, 50 33 E",26.0,50.55,"1,410,942 (July 2017 est.)
note: immigrants make up approximately 48% of the total population, according to UN data (2017)",1410942,"total: 32.3 years
male: 33.8 years
female: 29.5 years (2017 est.)",32.3,33.8,29.5,4.299999999999997,"0-14 years: 19.08% (male 136,669/female 132,493)
15-24 years: 15.65% (male 124,906/female 95,881)
25-54 years: 56.04% (male 516,064/female 274,604)
55-64 years: 6.28% (male 56,671/female 31,983)
65 years and over: 2.95% (male 20,656/female 21,015) (2017 est.)",19.08,15.65,56.04,6.28,2.95,136669,132493,124906,95881,516064,274604,56671,31983,20656,21015,"12.1 migrant(s)/1,000 population (2017 est.)",12.1,13.3,2.8,10.5,Middle East,79.0,76.8,81.3
Bangladesh,"24 00 N, 90 00 E",24.0,90.0,"157,826,578 (July 2017 est.)",157826578,"total: 26.7 years
male: 26 years
female: 27.3 years (2017 est.)",26.7,26.0,27.3,-1.3000000000000007,"0-14 years: 27.76% (male 22,283,780/female 21,521,977)
15-24 years: 19.36% (male 15,309,543/female 15,241,971)
25-54 years: 39.73% (male 30,094,014/female 32,614,286)
55-64 years: 6.93% (male 5,405,900/female 5,527,330)
65 years and over: 6.23% (male 4,666,033/female 5,161,744) (2017 est.)",27.76,19.36,39.73,6.93,6.23,22283780,21521977,15309543,15241971,30094014,32614286,5405900,5527330,4666033,5161744,"-3.1 migrant(s)/1,000 population (2017 est.)",-3.1,18.8,5.4,13.4,Asia,73.4,71.3,75.6
Barbados,"13 10 N, 59 32 W",13.166666666666664,-59.53333333333333,"292,336 (July 2017 est.)",292336,"total: 38.6 years
male: 37.5 years
female: 39.8 years (2017 est.)",38.6,37.5,39.8,-2.299999999999997,"0-14 years: 17.97% (male 26,256/female 26,266)
15-24 years: 12.74% (male 18,504/female 18,732)
25-54 years: 44.06% (male 64,198/female 64,594)
55-64 years: 13.43% (male 18,497/female 20,770)
65 years and over: 11.81% (male 13,927/female 20,592) (2017 est.)",17.97,12.74,44.06,13.43,11.81,26256,26266,18504,18732,64198,64594,18497,20770,13927,20592,"-0.3 migrant(s)/1,000 population (2017 est.)",-0.3,11.7,8.6,3.1,Central America and the Caribbean,75.5,73.2,77.9
Belarus,"53 00 N, 28 00 E",53.0,28.0,"9,549,747 (July 2017 est.)",9549747,"total: 40 years
male: 37.1 years
female: 43.1 years (2017 est.)",40.0,37.1,43.1,-6.0,"0-14 years: 15.78% (male 774,995/female 732,191)
15-24 years: 10.29% (male 505,420/female 477,123)
25-54 years: 44.76% (male 2,104,170/female 2,170,515)
55-64 years: 14.21% (male 599,630/female 757,744)
65 years and over: 14.95% (male 457,766/female 970,193) (2017 est.)",15.78,10.29,44.76,14.21,14.95,774995,732191,505420,477123,2104170,2170515,599630,757744,457766,970193,"0.7 migrant(s)/1,000 population (2017 est.)",0.7,10.3,13.2,-2.8999999999999986,Europe,73.0,67.5,78.8
Belgium,"50 50 N, 4 00 E",50.83333333333334,4.0,"11,491,346 (July 2017 est.)",11491346,"total: 41.4 years
male: 40.2 years
female: 42.7 years (2017 est.)",41.4,40.2,42.7,-2.5,"0-14 years: 17.16% (male 1,010,201/female 961,994)
15-24 years: 11.34% (male 665,483/female 637,700)
25-54 years: 40.05% (male 2,320,845/female 2,281,411)
55-64 years: 12.86% (male 732,062/female 746,212)
65 years and over: 18.58% (male 929,594/female 1,205,844) (2017 est.)",17.16,11.34,40.05,12.86,18.58,1010201,961994,665483,637700,2320845,2281411,732062,746212,929594,1205844,"5.4 migrant(s)/1,000 population (2017 est.)",5.4,11.3,9.7,1.6000000000000014,Europe,81.1,78.5,83.8
Belize,"17 15 N, 88 45 W",17.25,-88.75,"360,346 (July 2017 est.)",360346,"total: 22.7 years
male: 22.5 years
female: 22.9 years (2017 est.)",22.7,22.5,22.9,-0.3999999999999986,"0-14 years: 33.95% (male 62,454/female 59,896)
15-24 years: 20.55% (male 37,730/female 36,339)
25-54 years: 36.62% (male 66,880/female 65,082)
55-64 years: 4.99% (male 8,834/female 9,130)
65 years and over: 3.89% (male 6,562/female 7,439) (2017 est.)",33.95,20.55,36.62,4.99,3.89,62454,59896,37730,36339,66880,65082,8834,9130,6562,7439,"0 migrant(s)/1,000 population (2017 est.)",0.0,24.0,6.0,18.0,Central America and the Caribbean,68.9,67.3,70.6
Benin,"9 30 N, 2 15 E",9.5,2.25,"11,038,805
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",11038805,"total: 18.2 years
male: 17.9 years
female: 18.6 years (2017 est.)",18.2,17.9,18.6,-0.7000000000000028,"0-14 years: 42.65% (male 2,402,029/female 2,305,622)
15-24 years: 20.44% (male 1,148,204/female 1,108,342)
25-54 years: 30.44% (male 1,699,623/female 1,660,517)
55-64 years: 3.61% (male 174,633/female 223,398)
65 years and over: 2.87% (male 124,708/female 191,729) (2017 est.)",42.65,20.44,30.44,3.61,2.87,2402029,2305622,1148204,1108342,1699623,1660517,174633,223398,124708,191729,"0 migrant(s)/1,000 population (2017 est.)",0.0,35.0,7.9,27.1,Africa,62.3,60.9,63.8
Bermuda,"32 20 N, 64 45 W",32.333333333333336,-64.75,"70,864 (July 2017 est.)",70864,"total: 43.4 years
male: 41.5 years
female: 45.3 years (2017 est.)",43.4,41.5,45.3,-3.799999999999997,"0-14 years: 17.04% (male 6,104/female 5,974)
15-24 years: 12% (male 4,300/female 4,207)
25-54 years: 37.24% (male 13,230/female 13,163)
55-64 years: 15.73% (male 5,244/female 5,902)
65 years and over: 17.98% (male 5,395/female 7,345) (2017 est.)",17.04,12.0,37.24,15.73,17.98,6104,5974,4300,4207,13230,13163,5244,5902,5395,7345,"1.8 migrant(s)/1,000 population (2017 est.)",1.8,11.3,8.6,2.700000000000001,North America,81.4,78.2,84.6
Bhutan,"27 30 N, 90 30 E",27.5,90.5,"758,288 (July 2017 est.)",758288,"total: 27.6 years
male: 28.2 years
female: 27.1 years (2017 est.)",27.6,28.2,27.1,1.099999999999998,"0-14 years: 25.8% (male 99,977/female 95,652)
15-24 years: 18.81% (male 72,634/female 70,018)
25-54 years: 43.07% (male 173,310/female 153,314)
55-64 years: 6.03% (male 24,482/female 21,206)
65 years and over: 6.29% (male 24,874/female 22,821) (2017 est.)",25.8,18.81,43.07,6.03,6.29,99977,95652,72634,70018,173310,153314,24482,21206,24874,22821,"0 migrant(s)/1,000 population (2017 est.)",0.0,17.3,6.5,10.8,Asia,70.6,69.6,71.7
Bolivia,"17 00 S, 65 00 W",-17.0,-65.0,"11,138,234 (July 2017 est.)",11138234,"total: 24.3 years
male: 23.6 years
female: 25 years (2017 est.)",24.3,23.6,25.0,-1.3999999999999986,"0-14 years: 31.85% (male 1,807,735/female 1,739,763)
15-24 years: 19.46% (male 1,098,097/female 1,069,950)
25-54 years: 37.48% (male 2,041,866/female 2,133,065)
55-64 years: 5.9% (male 303,409/female 353,598)
65 years and over: 5.3% (male 260,424/female 330,327) (2017 est.)",31.85,19.46,37.48,5.9,5.3,1807735,1739763,1098097,1069950,2041866,2133065,303409,353598,260424,330327,"-0.5 migrant(s)/1,000 population (2017 est.)",-0.5,22.0,6.4,15.6,South America,69.5,66.7,72.4
Bosnia and Herzegovina,"44 00 N, 18 00 E",44.0,18.0,"3,856,181 (July 2017 est.)",3856181,"total: 42.1 years
male: 40.5 years
female: 43.5 years (2017 est.)",42.1,40.5,43.5,-3.0,"0-14 years: 13.29% (male 264,718/female 247,587)
15-24 years: 11.58% (male 230,495/female 216,107)
25-54 years: 45.88% (male 889,686/female 879,514)
55-64 years: 14.83% (male 275,550/female 296,236)
65 years and over: 14.43% (male 218,823/female 337,465) (2017 est.)",13.29,11.58,45.88,14.83,14.43,264718,247587,230495,216107,889686,879514,275550,296236,218823,337465,"-0.4 migrant(s)/1,000 population (2017 est.)",-0.4,8.8,10.0,-1.1999999999999993,Europe,76.9,73.9,80.2
Botswana,"22 00 S, 24 00 E",-22.0,24.0,"2,214,858
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",2214858,"total: 24.5 years
male: 23.5 years
female: 25.6 years (2017 est.)",24.5,23.5,25.6,-2.1000000000000014,"0-14 years: 31.95% (male 357,003/female 350,657)
15-24 years: 18.91% (male 207,209/female 211,629)
25-54 years: 38.45% (male 401,082/female 450,437)
55-64 years: 5.46% (male 51,195/female 69,835)
65 years and over: 5.23% (male 50,206/female 65,605) (2017 est.)",31.95,18.91,38.45,5.46,5.23,357003,350657,207209,211629,401082,450437,51195,69835,50206,65605,"3 migrant(s)/1,000 population (2017 est.)",3.0,22.1,9.6,12.500000000000002,Africa,63.3,61.2,65.5
Brazil,"10 00 S, 55 00 W",-10.0,-55.0,"207,353,391 (July 2017 est.)",207353391,"total: 32 years
male: 31.1 years
female: 32.8 years (2017 est.)",32.0,31.1,32.8,-1.6999999999999955,"0-14 years: 22.33% (male 23,599,867/female 22,696,756)
15-24 years: 16.36% (male 17,212,048/female 16,721,295)
25-54 years: 43.86% (male 45,114,076/female 45,836,147)
55-64 years: 9.12% (male 8,931,065/female 9,974,723)
65 years and over: 8.33% (male 7,356,838/female 9,910,576) (2017 est.)",22.33,16.36,43.86,9.12,8.33,23599867,22696756,17212048,16721295,45114076,45836147,8931065,9974723,7356838,9910576,"-0.1 migrant(s)/1,000 population (2017 est.)",-0.1,14.1,6.7,7.399999999999999,South America,74.0,70.5,77.7
British Virgin Islands,"18 30 N, 64 30 W",18.5,-64.5,"35,015 (July 2017 est.)",35015,"total: 36.5 years
male: 36.3 years
female: 36.6 years (2017 est.)",36.5,36.3,36.6,-0.30000000000000426,"0-14 years: 16.7% (male 2,877/female 2,971)
15-24 years: 13.37% (male 2,243/female 2,437)
25-54 years: 49.37% (male 8,116/female 9,170)
55-64 years: 11.6% (male 1,975/female 2,086)
65 years and over: 8.97% (male 1,522/female 1,618) (2017 est.)",16.7,13.37,49.37,11.6,8.97,2877,2971,2243,2437,8116,9170,1975,2086,1522,1618,"16.5 migrant(s)/1,000 population (2017 est.)",16.5,11.1,5.1,6.0,Central America and the Caribbean,78.8,77.4,80.3
Brunei,"4 30 N, 114 40 E",4.5,114.66666666666669,"443,593 (July 2017 est.)",443593,"total: 30.2 years
male: 29.7 years
female: 30.7 years (2017 est.)",30.2,29.7,30.7,-1.0,"0-14 years: 23.12% (male 52,862/female 49,717)
15-24 years: 17.05% (male 37,637/female 38,005)
25-54 years: 46.75% (male 99,203/female 108,198)
55-64 years: 8.23% (male 18,537/female 17,974)
65 years and over: 4.84% (male 10,440/female 11,020) (2017 est.)",23.12,17.05,46.75,8.23,4.84,52862,49717,37637,38005,99203,108198,18537,17974,10440,11020,"2.4 migrant(s)/1,000 population (2017 est.)",2.4,17.0,3.6,13.4,Southeast Asia,77.3,75.0,79.8
Bulgaria,"43 00 N, 25 00 E",43.0,25.0,"7,101,510 (July 2017 est.)",7101510,"total: 42.7 years
male: 40.9 years
female: 44.7 years (2017 est.)",42.7,40.9,44.7,-3.8000000000000043,"0-14 years: 14.58% (male 532,924/female 502,277)
15-24 years: 9.58% (male 354,872/female 325,538)
25-54 years: 43.21% (male 1,576,980/female 1,491,489)
55-64 years: 13.35% (male 445,412/female 502,924)
65 years and over: 19.28% (male 554,486/female 814,608) (2017 est.)",14.58,9.58,43.21,13.35,19.28,532924,502277,354872,325538,1576980,1491489,445412,502924,554486,814608,"-0.3 migrant(s)/1,000 population (2017 est.)",-0.3,8.7,14.5,-5.8000000000000025,Europe,74.7,71.4,78.2
Burkina Faso,"13 00 N, 2 00 W",13.0,-2.0,"20,107,509
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",20107509,"total: 17.3 years
male: 17.1 years
female: 17.4 years (2017 est.)",17.3,17.1,17.4,-0.2999999999999972,"0-14 years: 44.88% (male 4,519,960/female 4,503,937)
15-24 years: 20.07% (male 2,024,501/female 2,012,053)
25-54 years: 29.42% (male 2,999,941/female 2,915,264)
55-64 years: 3.2% (male 284,374/female 359,159)
65 years and over: 2.43% (male 181,996/female 306,324) (2017 est.)",44.88,20.07,29.42,3.2,2.43,4519960,4503937,2024501,2012053,2999941,2915264,284374,359159,181996,306324,"0 migrant(s)/1,000 population (2017 est.)",0.0,41.2,11.2,30.000000000000004,Africa,55.9,53.8,58.0
Burma,"22 00 N, 98 00 E",22.0,98.0,"55,123,814
note: estimates for this country take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",55123814,"total: 28.2 years
male: 27.4 years
female: 29 years (2017 est.)",28.2,27.4,29.0,-1.6000000000000014,"0-14 years: 26.85% (male 7,567,976/female 7,233,577)
15-24 years: 17.75% (male 4,917,290/female 4,865,264)
25-54 years: 42.36% (male 11,426,913/female 11,922,728)
55-64 years: 7.52% (male 1,930,253/female 2,213,263)
65 years and over: 5.53% (male 1,327,811/female 1,718,739) (2017 est.)",26.85,17.75,42.36,7.52,5.53,7567976,7233577,4917290,4865264,11426913,11922728,1930253,2213263,1327811,1718739,"-1.5 migrant(s)/1,000 population (2017 est.)",-1.5,18.1,7.4,10.7,Southeast Asia,68.2,66.6,69.9
Burundi,"3 30 S, 30 00 E",-3.5,30.0,"11,466,756
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",11466756,"total: 17 years
male: 16.8 years
female: 17.3 years (2017 est.)",17.0,16.8,17.3,-0.5,"0-14 years: 45.57% (male 2,628,767/female 2,596,719)
15-24 years: 19.15% (male 1,095,213/female 1,100,314)
25-54 years: 28.74% (male 1,643,319/female 1,651,679)
55-64 years: 3.92% (male 212,074/female 237,324)
65 years and over: 2.63% (male 129,482/female 171,865) (2017 est.)",45.57,19.15,28.74,3.92,2.63,2628767,2596719,1095213,1100314,1643319,1651679,212074,237324,129482,171865,"0 migrant(s)/1,000 population (2017 est.)",0.0,41.3,8.8,32.5,Africa,60.9,59.2,62.7
Cabo Verde,"16 00 N, 24 00 W",16.0,-24.0,"560,899 (July 2017 est.)",560899,"total: 25.4 years
male: 24.6 years
female: 26.2 years (2017 est.)",25.4,24.6,26.2,-1.5999999999999979,"0-14 years: 29.13% (male 82,157/female 81,227)
15-24 years: 20.11% (male 56,401/female 56,391)
25-54 years: 39.64% (male 108,081/female 114,234)
55-64 years: 5.94% (male 14,547/female 18,761)
65 years and over: 5.19% (male 11,012/female 18,088) (2017 est.)",29.13,20.11,39.64,5.94,5.19,82157,81227,56401,56391,108081,114234,14547,18761,11012,18088,"-0.6 migrant(s)/1,000 population (2017 est.)",-0.6,20.0,6.0,14.0,Africa,72.4,70.1,74.8
Cambodia,"13 00 N, 105 00 E",13.0,105.0,"16,204,486
note: estimates for this country take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",16204486,"total: 25.3 years
male: 24.6 years
female: 26 years (2017 est.)",25.3,24.6,26.0,-1.3999999999999986,"0-14 years: 31.01% (male 2,537,753/female 2,487,633)
15-24 years: 18.36% (male 1,471,965/female 1,503,977)
25-54 years: 40.68% (male 3,229,901/female 3,361,475)
55-64 years: 5.69% (male 374,663/female 547,971)
65 years and over: 4.25% (male 258,584/female 430,564) (2017 est.)",31.01,18.36,40.68,5.69,4.25,2537753,2487633,1471965,1503977,3229901,3361475,374663,547971,258584,430564,"-0.3 migrant(s)/1,000 population (2017 est.)",-0.3,23.0,7.5,15.5,Southeast Asia,64.9,62.4,67.5
